_id,compreensao,idAluno,idQuestionario
61f038cc2ae74262b6f59155,0.2511723770209167,350,396
61f038cd2ae74262b6f59158,0.2047244094488189,372,396
61f038ce2ae74262b6f5915b,0.1945019397906326,363,396
61f038cf2ae74262b6f5915e,0.2579128430495951,360,396
61f038d02ae74262b6f59161,0.37958751474836894,361,396
61f038d12ae74262b6f59164,0.35237882811741117,345,396
61f038d22ae74262b6f59167,0.3606800766283525,374,396
61f038d32ae74262b6f5916a,0.30806400986606935,355,396
61f038d42ae74262b6f5916d,0.49207281144781145,354,396
61f038d42ae74262b6f59170,0.3685496011778422,359,396
61f038d52ae74262b6f59172,0.38723417564257656,344,396
61f038d62ae74262b6f59173,0.44955218248601286,349,396
61f038d62ae74262b6f59175,0.33888082778346673,357,396
61f038d92ae74262b6f5917c,0.2908324299080257,352,396
61f038da2ae74262b6f5917e,0.3270540655598127,383,396